recipe_title,category,subcategory,ingredients,directions,num_ingredients,num_steps,normalized_recipe_name
Vegan Pasta Salad,Pasta Salads,Broccoli Pasta Salad,"[""1 (16 ounce) package rotini pasta"", ""1 cup chopped broccoli"", ""\u00bd cup vegan mayonnaise"", ""1 (6 ounce) can sliced olives, drained"", ""3 large dill pickles, diced"", ""3 large tomatoes, diced"", ""\u00bc cup dill pickle juice"", ""3 tablespoons minced fresh dill"", ""\u00bd tablespoon dried dill"", ""1 teaspoon ground mustard""]","[""Bring a large pot of lightly salted water to a boil; cook the rotini at a boil until tender yet firm to the bite, about 8 minutes; drain. Transfer to a large bowl."", ""Add broccoli, mayonnaise, olives, pickles, tomatoes, pickle juice, fresh dill, dried dill, and mustard to the bowl with the pasta and mix to combine. Chill at least 3 hours and stir before serving.""]",10,2,vegan pasta salad
Vegan Raw Sunchoke Salad with Apples,Healthy Recipes,Raw Food Diet,"[""1 \u00bd cups thinly sliced sunchokes"", ""1 \u00be cups thinly sliced peeled apples"", ""\u00bd cup olive oil"", ""\u00bc cup orange juice"", ""salt and freshly ground black pepper to taste"", ""2 pinches white sugar""]","[""Arrange sliced sunchokes and apples on a serving platter."", ""Combine olive oil, orange juice, salt, pepper, and sugar in a blender; blend until creamy. Drizzle over sunchoke-apple mixture.""]",6,2,vegan raw sunchoke salad with apples
Vegetarian Greek Pasta Salad,Pasta Salads,Greek Pasta Salad,"[""1 (16 ounce) package penne pasta"", ""\u00bc cup vegetable oil"", ""1 teaspoon lemon juice"", ""1 teaspoon dried basil"", ""1 teaspoon ground black pepper"", ""1 teaspoon garlic salt"", ""2 tomatoes, chopped"", ""1 green bell pepper, chopped"", ""1 sweet onion, chopped"", ""1 cucumber, coarsely chopped"", ""1 cup black olives, chopped""]","[""Cook pasta in a large pot of boiling water until al dente. Drain, and rinse in cold water."", ""In a small bowl, mix together oil, lemon juice, basil, garlic salt, and black pepper."", ""In a large bowl, combine pasta, tomatoes, green pepper, onion, cucumber, and black olives. Add dressing, and toss to coat. Chill in the refrigerator for 30 minutes.""]",11,3,vegetarian greek pasta salad
Veggie Nacho Salad,Nachos,Nachos,"[""1 (10 ounce) bag tortilla chips, or to taste"", ""\u00bd cup shredded Mexican cheese blend"", ""1 teaspoon vegetable oil, or as needed"", ""1 (12 ounce) can corned beef"", ""2 cups shredded lettuce"", ""1 \u00bd cups shredded purple cabbage"", ""1 tomato, diced"", ""\u00bc cup diced onion (Optional)"", ""\u00bd cup guacamole"", ""1 tablespoon sour cream, or to taste"", ""1 tablespoon chopped green onions, or to taste"", ""1 pinch seasoned salt, or to taste""]","[""Preheat the oven to 350 degrees F (175 degrees C). Spread tortilla chips on a baking sheet and sprinkle shredded cheese over chips."", ""Bake in the preheated oven until cheese has melted, about 7 minutes."", ""Meanwhile, heat oil in a frying pan over medium heat. Add corned beef and cook until heated through, about 5 minutes."", ""Pile corned beef, lettuce, cabbage, tomato, and onion on top of the chips. Add guacamole, sour cream, and green onions. Sprinkle seasoned salt on top. Toss lightly at the table.""]",12,4,veggie nacho salad
Vermicelli Salad,Pasta Salads,Italian Pasta Salad,"[""8 ounces vermicelli pasta"", ""1 tomato, chopped"", ""\u00bd cup chopped green bell pepper"", ""1 (6 ounce) can sliced black olives"", ""\u00bd cup chopped red onion"", ""2 tablespoons salad seasoning mix"", ""\u00bd cup zesty Italian dressing""]","[""In a large pot of salted boiling water, cook pasta until al dente, rinse under cold water and drain."", ""In a large bowl, combine the pasta, tomato, bell pepper, olives and onion."", ""Whisk together the salad seasoning mix and zesty salad dressing. Pour over salad and toss gently. Refrigerate 4 hours or overnight to blend flavors.""]",7,3,vermicelli salad
Very Easy Fruit Salad,Fruit Salads,Fruit Salads,"[""1 pint strawberries - cleaned, hulled and sliced"", ""1 pound seedless grapes, halved"", ""3 kiwis, peeled and sliced"", ""3 bananas, sliced"", ""1 (21 ounce) can peach pie filling""]","[""In a large bowl, combine the strawberries, grapes, kiwis, and bananas. Gently mix in peaches. Chill for 1 hour before serving.""]",5,1,very fruit salad
Vietnamese Chicken Salad,Chicken Salads,Bbq & Grilled Chicken Salads,"[""1 tablespoon finely chopped green chile peppers"", ""1 tablespoon rice vinegar"", ""2 tablespoons fresh lime juice"", ""3 tablespoons Asian fish sauce"", ""3 cloves garlic, minced"", ""1 tablespoon white sugar"", ""1 tablespoon Asian (toasted) sesame oil"", ""2 tablespoons vegetable oil"", ""1 teaspoon black pepper"", ""2 cooked skinless boneless chicken breast halves, shredded"", ""\u00bd head cabbage, cored and thinly sliced"", ""1 carrot, cut into matchsticks"", ""\u2153 onion, finely chopped"", ""\u2153 cup finely chopped dry roasted peanuts"", ""\u2153 cup chopped fresh cilantro""]","[""Gather all ingredients."", ""Stir together the chopped green chiles, rice vinegar, lime juice, fish sauce, garlic, sugar, sesame oil, vegetable oil, and black pepper until the mixture is thoroughly combined and the sugar is dissolved."", ""Place the chicken, cabbage, carrot, onion, peanuts, and cilantro in a salad bowl, and toss thoroughly together with tongs."", ""Pour the dressing over the salad and toss again. Serve immediately.""]",15,4,vietnamese chicken salad
Vietnamese Rice Noodle Salad,Pasta Salads,Asian Pasta Salad,"[""5 cloves garlic"", ""1 cup loosely packed chopped cilantro"", ""\u00bd jalapeno pepper, seeded and minced"", ""3 tablespoons white sugar"", ""\u00bc cup fresh lime juice"", ""3 tablespoons vegetarian fish sauce"", ""1 (12 ounce) package dried rice noodles"", ""2 carrots, julienned"", ""1 cucumber, halved lengthwise and chopped"", ""\u00bc cup chopped fresh mint"", ""4 leaves napa cabbage"", ""\u00bc cup unsalted peanuts"", ""4 sprigs fresh mint""]","[""Mince the garlic with the cilantro and the hot pepper. Transfer the mixture to a bowl, add the lime juice, fish sauce or salt and sugar; stir well. Let the sauce sit for 5 minutes."", ""Bring a large pot of salted water to a boil. Add the rice noodles; boil them for 2 minutes. Drain well. Rinse the noodles with cold water until they have cooled. Let them drain again."", ""Combine the sauce, noodles, carrots, cucumber, mint and Napa cabbage in a large serving bowl. Toss well and serve the salad garnished with the peanuts and mint sprigs.""]",13,3,vietnamese rice noodle salad
Vietnamese Salad Rolls,Appetizers And Snacks,Pasta Appetizers,"[""1 (8 ounce) package rice vermicelli"", ""8 ounces cooked, peeled shrimp, cut in half lengthwise"", ""8 rice wrappers (6.5 inch diameter)"", ""1 carrot, julienned"", ""1 cup shredded lettuce"", ""\u00bc cup chopped fresh basil"", ""\u00bd cup hoisin sauce"", ""water as needed""]","[""Bring a medium saucepan of water to a boil. Place rice vermicelli in boiling water, remove from heat, and let soak until soft, 3 to 5 minutes. Drain and rinse with cold water. Set aside."", ""Fill a large bowl with hot water. Dip one rice wrapper in hot water until soft, about 1 second. Lay wrapper flat; place desired amounts of noodles, shrimp, carrot, lettuce, and basil in the center. Roll edges of wrapper slightly inward. Beginning at the bottom edge of wrapper, tightly roll up ingredients. Repeat with remaining wrappers."", ""Mix hoisin sauce with water in a small bowl until desired consistency has been attained. Heat mixture for a few seconds in the microwave."", ""Serve spring rolls with warm dipping sauce.""]",8,4,vietnamese salad rolls
Vinagrete (Brazilian Tomato Slaw),Low Sodium,Low-Sodium Salads,"[""5 tomatoes, diced"", ""1 red bell pepper, seeded and diced"", ""\u00bd English cucumber, quartered and thinly sliced"", ""\u00bd cup diced onion"", ""\u00bd cup finely chopped fresh parsley"", ""\u00bc cup lime juice"", ""\u00bc cup olive oil"", ""\u00bc cup diced green onions"", ""\u00bc cup finely chopped fresh cilantro"", ""2 tablespoons apple cider vinegar"", ""salt and ground black pepper to taste""]","[""Combine tomatoes, bell pepper, cucumber, onion, parsley, lime juice, olive oil, green onions, cilantro, vinegar, salt, and black pepper in a large bowl. Let stand at room temperature until flavors combine, about 3 hours.""]",11,1,vinagrete brazilian tomato slaw
Wabbit-Approved Carrot Raisin Salad,Diabetic,Diabetic Salads,"[""\u00bd cup plain yogurt"", ""\u00bd cup crushed pineapple in juice"", ""3 large carrots, shredded"", ""\u00bc cup raisins, or more to taste""]","[""Mix yogurt and pineapple in a bowl until blended; fold in carrots and raisins.""]",4,1,wabbit approved carrot raisin salad
Waldorf Cabbage Salad,Coleslaws,Coleslaw With Mayo,"[""\u00bc head savoy cabbage, thinly sliced"", ""4 apples, cored and diced with peel"", ""\u00bd cup finely chopped walnuts"", ""6 stalks celery, diced"", ""\u2153 cup mayonnaise"", ""1 tablespoon white sugar"", ""\u00bd teaspoon salt""]","[""Use a chef's knife to slice cabbage into thin pieces 1 to 2 inches long. Do not use the large ribs of the cabbage, as they are too strongly flavored."", ""In a large bowl, toss together the cabbage, apples, walnuts, celery, mayonnaise, sugar and salt until evenly coated. Serve immediately or store in the refrigerator for up to one day.""]",7,2,waldorf cabbage salad
Waldorf Salad,Fruit Salads,Apple Salad,"[""\u00bd cup mayonnaise"", ""1 tablespoon white sugar or to taste"", ""1 teaspoon lemon juice"", ""\u215b teaspoon salt"", ""3 apples \u2014 peeled, cored, and chopped"", ""1 cup thinly sliced celery"", ""\u00bd cup chopped walnuts"", ""\u00bd cup raisins (Optional)""]","[""Gather all ingredients."", ""Whisk mayonnaise, sugar, lemon juice, and salt together in a serving bowl."", ""Stir in apples, celery, walnuts, and raisins. Cover and chill in the refrigerator until ready to serve."", ""Serve and enjoy!""]",8,4,waldorf salad
Waldorf Salad with Walnut Oil Vinaigrette,Fruit Salads,Apple Salad,"[""2 Red Delicious apples, cored and diced"", ""2 Granny Smith apples, cored and diced"", ""4 stalks celery, diced"", ""1 cup toasted walnuts"", ""\u00bd cup raisins"", ""2 tablespoons walnut oil"", ""1 tablespoon cider vinegar"", ""\u00bd teaspoon salt"", ""\u00bd teaspoon pepper""]","[""Toss together apples, celery, walnuts, and raisins in a large bowl; set aside."", ""Whisk together walnut oil, cider vinegar, salt, and pepper in a small bowl."", ""Toss apples with dressing to serve.""]",9,3,waldorf salad with walnut oil vinaigrette
Walking Strawberry Pretzel Salad,July 4Th,July 4Th,"[""pretzels (such as Snyder's"", ""1 (5 1/2 ounce) package v anilla pudding (such as Snack Pack"", ""1 3 1/4 ounce) package strawberry gelatin (such as Jell-O"", ""1/2 cup fresh strawberries, plus more for garnish"", ""1/2 cup frozen whipped topping""]","[""Gather all ingredients."", ""Open pretzel bags and coarsely crush pretzels with your hands."", ""Remove 1 tablespoon of crushed pretzels from each bag, and reserve for garnish."", ""Dollop half of the vanilla pudding into each bag."", ""Dollop half of the strawberry jell-o into each bag."", ""Top each with 1/4 cup strawberries."", ""Dollop with 1/4 cup of the whipped topping."", ""Garnish with reserved pretzels and strawberries.""]",5,8,walking strawberry pretzel salad
Warm Broccoli Caesar Salad,Green Salads,Green Salads,"[""8 cups fresh broccoli florets"", ""2 tablespoons canola oil"", ""1 1/2 teaspoons kosher salt"", ""1 1/4 teaspoons black pepper"", ""1/2 cup canola oil"", ""1/2 cup shaved Parmesan cheese"", ""3 hard-cooked eggs"", ""2 tablespoons fresh lemon juice"", ""1 tablespoon Worcestershire sauce"", ""1 garlic clove"", ""1 teaspoon Dijon mustard"", ""4 slices bacon"", ""1/3 cup panko""]","[""Gather all ingredients. Preheat oven to 400 degrees F (200 degrees C)."", ""Spread out broccoli on a large rimmed baking sheet. Toss with 2 tablespoons of the canola oil, 3/4 teaspoon of the salt, and 1/4 teaspoon of the black pepper until evenly coated."", ""Roast in the preheated oven until broccoli is bright green and browned in spots, 18 to 20 minutes."", ""Meanwhile, combine 1/2 cup oil, 1/4 cup Parmesan cheese, eggs, lemon juice, Worcestershire sauce, garlic, Dijon mustard, 3/4 teaspoon black pepper, and 3/4 teaspoon salt in a blender; process until smooth, about 2 minutes. Refrigerate until ready to serve."", ""Add bacon to a large skillet over medium heat and cook, stirring occasionally, until crispy, about 10 minutes. Using a slotted spoon, transfer to a paper towel-lined plate. Reserve 1 tablespoon of bacon fat in skillet and do not wipe clean; discard remaining drippings."", ""Add panko and remaining 1/4 teaspoon black pepper to skillet over low heat; cook, stirring constantly, until golden brown, about 3 minutes. Remove from heat."", ""Transfer broccoli to a large serving bowl. Top with panko, bacon, and remaining 1/4 cup Parmesan. Drizzle with desired amount of Caesar dressing. Refrigerate remaining Caesar dressing for up to 4 days.""]",13,7,warm broccoli caesar salad
Warm Brussels Sprout Salad with Hazelnuts and Cranberries,Christmas,Christmas Salads,"[""1 pound Brussels sprouts, trimmed and quartered"", ""2 tablespoons olive oil"", ""salt and ground black pepper to taste"", ""1 cup chopped hazelnuts"", ""3 slices thick-cut bacon, chopped"", ""2 tablespoons maple syrup"", ""2 tablespoons chopped fresh rosemary"", ""1 cup dried cranberries"", ""\u00bc cup grated Pecorino-Romano cheese""]","[""Preheat oven to 425 degrees F (220 degrees C)."", ""Toss Brussels sprouts with olive oil, salt, and pepper together in a bowl until coated. Transfer coated sprouts to a baking sheet."", ""Bake in the preheated oven until sprouts are tender, about 15 minutes."", ""Cook and stir hazelnuts in a skillet over medium-low heat until lightly toasted and fragrant, about 5 minutes. Transfer hazelnuts to a bowl."", ""Cook and stir bacon in the same skillet over medium heat until crisp, about 10 minutes. Add maple syrup and rosemary; cook, stirring often, until the bacon drippings and maple syrup begin to thicken and stick to the back of a spoon, about 10 minutes."", ""Combine cooked Brussels sprouts and bacon mixture together in a large bowl; toss until sprouts are coated with maple syrup sauce. Sprinkle in hazelnuts, cranberries, and Pecorino-Romano cheese; toss well. This dish is best served warm.""]",9,6,warm brussels sprout salad with hazelnuts and cranberries
Warm Calamari Salad,Chef John,Chef John'S Salads,"[""1 pound cleaned calamari (tubes and tentacles)"", ""1 tablespoon vegetable oil"", ""\u00bd teaspoon red pepper flakes, plus a pinch for garnish"", ""\u00bd teaspoon chipotle chile powder"", ""1 pinch cayenne pepper"", ""1 teaspoon packed light brown sugar"", ""1 jalapeno chile pepper, seeded and sliced"", ""1 teaspoon kosher salt""]","[""Cut calamari tubes into 1/4-inch rings. Cut larger tentacle pieces in half. Place calamari in a bowl. Add oil, red pepper flakes, chipotle powder, cayenne pepper, brown sugar, jalapeno slices, and salt. Mix together thoroughly."", ""Place arugula and beans in separate bowl. Toss with olive oil, lemon juice, salt and pepper. Divide among 4 servings bowls."", ""Heat cast iron skillet over high heat until smoking. Add calamari to skillet; cook and stir until calamari loses its translucency, about 2 minutes. Remove from heat immediately."", ""Spoon calamari over arugula and beans. Drizzle with olive oil and lemon juice. Season with a pinch of pepper flakes.""]",8,4,warm calamari salad
Warm Corn Salad,Low Calorie,Low-Calorie Salads,"[""1 teaspoon butter"", ""2 ears fresh corn, kernels cut from cob"", ""\u00bd red onion, diced"", ""1 tablespoon fresh parsley"", ""salt to taste"", ""ground black pepper to taste"", ""1 tablespoon chopped fresh chives""]","[""Melt butter in a saucepan over medium heat. Stir in corn and onion; cook until heated through, about 5 minutes. Mix in parsley, then season with salt and pepper. Garnish with chives to serve.""]",7,1,warm corn salad
Warm Dijon Potato Salad,Healthy Recipes,Healthy Salads,"[""5 red potatoes"", ""\u00bd cup reduced-fat mayonnaise"", ""2 tablespoons grated Parmesan cheese"", ""1 \u00bd tablespoons Dijon mustard"", ""4 teaspoons cider vinegar"", ""\u00bd teaspoon cayenne pepper"", ""\u00bd teaspoon salt"", ""\u00bc teaspoon ground black pepper"", ""\u00bc teaspoon paprika"", ""\u00bd red onion, thinly sliced"", ""2 green onions, chopped""]","[""Gather all ingredients."", ""Place potatoes into a large pot and cover with salted water; bring to a boil. Reduce heat to medium-low, cover, and simmer until tender, about 20 minutes. Drain and cut into cubes."", ""Whisk mayonnaise, Parmesan cheese, Dijon mustard, vinegar, cayenne pepper, salt, black pepper, and paprika together in a large bowl."", ""Add potatoes, red onion, and green onions; gently toss to combine.""]",11,4,warm dijon potato salad
Warm Grilled Peach and Kale Salad,Vegetarian,Vegetarian Bbq & Grilling,"[""1 medium red bell pepper, chopped"", ""\u00bc cup apple cider vinegar"", ""\u00bc cup chopped yellow onion"", ""2 tablespoons vegetable oil"", ""2 tablespoons honey"", ""\u00bd teaspoon freshly grated ginger"", ""\u00bd teaspoon garlic paste""]","[""Combine red bell pepper, vinegar, onion, oil, honey, ginger, and garlic paste in a jar with a lid. Cover jar, shake, and refrigerate dressing 8 hours to overnight."", ""Preheat an outdoor grill for medium-high heat and lightly oil the grate."", ""Place peaches and kale leaves on the preheated grill. Toss kale continuously until softened and lightly charred on the edges, about 5 minutes. Cook and turn peaches until grill marks appear, about 3 minutes per side."", ""Place cooked kale in a serving bowl and toss with dressing. Top with cooked peaches and goat cheese. Season with salt and pepper. Serve warm.""]",7,4,warm grilled peach and kale salad
Warm Quinoa Salad,Dinner,Main Dish Salads,"[""\u00bc cup extra-virgin olive oil"", ""1 tablespoon lime juice"", ""\u00bd teaspoon kosher salt"", ""\u00bd teaspoon ground black pepper"", ""\u00bd teaspoon ground cumin""]","[""Make dressing: Whisk together olive oil, lime juice, salt, pepper, and cumin in a large serving bowl until combined."", ""Make salad: Bring water, quinoa, and salt to a boil in a saucepan. Reduce heat to medium-low, cover, and simmer until quinoa is tender, 15 to 20 minutes."", ""Transfer cooked quinoa into the serving bowl with dressing. Add beans, corn, bell pepper, onion, and cilantro. Mix with a large spoon or wide spatula until combined.""]",5,3,warm quinoa salad
Warm Shrimp Salad,Green Salads,Green Salads,"[""1 pound medium shrimp - peeled and deveined"", ""2 tablespoons butter"", ""2 lemons, juiced"", ""2 heads butter lettuce"", ""2 tomatoes, chopped"", ""1 avocado - peeled, pitted and diced"", ""2 stalks celery, chopped"", ""1 cucumber, cleaned and chopped"", ""\u00bd cup shredded carrots"", ""\u2153 cup vinaigrette salad dressing""]","[""In a large saute pan melt butter over medium heat. Add the shrimp and lemon juice, cook until shrimp just turn pink. Remove from heat and drain."", ""In a large bowl tear lettuce into bite-size pieces, add the tomatoes, avocado, celery, cucumber carrots and cooked shrimp, toss to combine. Top with your favorite dressing or vinaigrette.""]",10,2,warm shrimp salad
Warm Watermelon Salad,Paleo,Paleo Salads,"[""6 cups cubed, seeded watermelon"", ""\u00bc cup grapeseed oil"", ""1 cup chopped scallions"", ""2 tablespoons sliced jalape\u00f1o chile peppers"", ""salt and ground black pepper to taste"", ""1 tablespoon chopped fresh parsley""]","[""Place watermelon in a large bowl."", ""Heat grapeseed oil in a medium skillet over low heat. Add scallions and jalape\u00f1os; cook and stir until fragrant and warmed, 1 to 2 minutes. Stir into watermelon; season with salt and pepper. Sprinkle with parsley; serve.""]",6,2,warm watermelon salad
Warm Winter Citrus Dessert,Fruit Salads,Fruit Salads,"[""2 red grapefruit, peeled and sectioned"", ""2 large oranges, peeled and sectioned"", ""1 cup fresh pineapple chunks"", ""\u00bd cup packed brown sugar"", ""2 tablespoons butter, softened""]","[""Preheat the oven's broiler and set the oven rack about 6 inches from the heat source."", ""Place the grapefruit sections, orange sections, and pineapple chunks into an 8x8-inch baking dish. Stir the brown sugar and butter together in a small bowl, and scatter the butter mixture evenly across the fruit."", ""Broil the fruit until the sugar is bubbly, 5 to 6 minutes. Allow to cool for several minutes before serving warm.""]",5,3,warm winter citrus dessert
Watergate Salad,Fruit Salads,Dessert Salads,"[""1 (3.4 ounce) package instant pistachio pudding mix"", ""1 (8 ounce) can crushed pineapple, with juice"", ""1 cup miniature marshmallows"", ""\u00bd cup chopped walnuts"", ""4 ounces frozen whipped topping, thawed""]","[""Gather all ingredients."", ""Combine crushed pineapple with juice, instant pudding mix, mini marshmallows, and walnuts in a large serving bowl. Mix until well combined."", ""Fold in whipped topping, then chill for 1 to 2 hours before serving."", ""When ready to serve, garnish with crushed pistachios and maraschino cherries."", ""Enjoy!""]",5,5,watergate salad
Watergate Salad from DOLE,Fruit Salads,Dessert Salads,"[""1 (20 ounce) can DOLE\u00ae Crushed Pineapple, undrained"", ""1 (4 serving size) package instant pistachio flavor pudding mix"", ""1 cup miniature marshmallows"", ""\u00bd cup chopped pecans"", ""1 \u00bd cups thawed whipped topping""]","[""Combine undrained pineapple and pudding mix in a large bowl. Mix in marshmallows and pecans until well blended. Gently stir in whipped topping. Cover and refrigerate for at least 1 hour before serving.""]",5,1,watergate salad from dole
Watermelon Basil Salad,Fruit Salads,Watermelon Salad,"[""1/4 cup basil leaves"", ""4 cups cubed watermelon"", ""2 teaspoons lemon juice"", ""1/4 teaspoon kosher salt, or to taste"", ""1/4 teaspoon chili powder""]","[""Stack basil leaves on top of each other and roll tightly into a log. Slice lengthwise into thin ribbons."", ""Combine basil slices and watermelon in a large bowl. Drizzle lemon juice over watermelon."", ""Mix salt and chili powder together; sprinkle over watermelon and toss to combine. Chill salad before serving, at least 30 minutes.""]",5,3,watermelon basil salad
Watermelon Cucumber Salad,Fruit Salads,Fruit Salads,"[""1 small red onion, halved and sliced into thin half-moons"", ""2 tablespoons lime juice, or more to taste"", ""2 tablespoons extra-virgin olive oil"", ""1 seedless watermelon, cut into cubes"", ""3 baby cucumbers, seeded and cut into cubes"", ""1 cup crumbled feta cheese"", ""\u00bd cup mint leaves, sliced thinly""]","[""Mix red onion with lime juice in a bowl; set aside to marinate at least 10 minutes. Stir olive oil into mixture."", ""Toss watermelon, baby cucumbers, and feta cheese together in a large bowl. Pour red onion mixture over watermelon mixture; toss to coat. Sprinkle mint over the salad; toss and serve.""]",7,2,watermelon cucumber salad
Watermelon Feta Salad,Fruit Salads,Fruit Salads,"[""1/2 large chilled seedless watermelon, cut into 1-inch cubes"", ""1 small red onion, sliced"", ""1 cup thinly sliced fresh basil leaves"", ""1 cup chopped fresh cilantro"", ""1/2 cup minced fresh mint leaves"", ""2 limes, juiced"", ""1 (4 ounce) package crumbled feta cheese"", ""3 tablespoons olive oil"", ""2 tablespoons balsamic vinegar, or more to taste"", ""salt and ground black pepper to taste""]","[""Gather all ingredients."", ""Gently toss watermelon, onion, basil, cilantro, mint, lime juice, feta cheese, olive oil, balsamic vinegar, salt, and black pepper together in a large bowl.""]",10,2,watermelon feta salad
Watermelon Feta Salad Bites,Appetizers And Snacks,Fruit Appetizers,"[""1 medium seedless watermelon, chilled"", ""2 tablespoons red wine vinegar"", ""\u00bc cup extra virgin olive oil"", ""\u00bd teaspoon kosher salt"", ""\u00bd teaspoon freshly ground black pepper"", ""\u00bd cup crumbled feta"", ""\u2153 cup minced red onion"", ""\u00bc cup finely chopped mint, plus more for garnish if desired""]","[""Trim each end off the watermelon and stand it up vertically. Run a knife along the line of where the rind meets the flesh to remove the rind. Trim the sides of the peeled watermelon to create 4 straight sides; reserve the trimmings for another use. Cut the straight sided watermelon into about 2 dozen 2-inch chunks."", ""Use a melon baller or small spoon to hollow out about 2 teaspoons of flesh from the center of each watermelon cube and save for later use. Place hollowed watermelon on a serving platter and set aside."", ""In a medium bowl, whisk together vinegar, oil, salt and pepper. Add feta, onion, and mint to the dressing mixture and fold gently to combine. Spoon feta mixture into the watermelon cubes and garnish with extra fresh mint if desired.""]",8,3,watermelon feta salad bites
Watermelon Fruit Salad,Fruit Salads,Fruit Salads,"[""2 small watermelons"", ""1 (15 ounce) can canned diced pineapple in juice, drain juice and reserve"", ""1 pound seedless grapes"", ""2 apples - peeled, cored and chopped"", ""2 bananas, cut into bite-size pieces""]","[""Cut each watermelon in half lengthwise. Hollow out the insides using a melon baller, reserving rind for later use. Drain pineapple, and discard juice. Cut apples in half, remove cores, and cut into bite size pieces. Peel banana, and slice in to bite size pieces. Rinse grapes under cold running water, and pat dry."", ""In a bowl, toss together the watermelon balls, pineapple, apple, banana chunks, and grapes. Divide fruit salad among the 4 reserved watermelon \""bowls,\"" and serve.""]",5,2,watermelon fruit salad
Watermelon Goat Cheese Salad,Low Sodium,Low-Sodium Salads,"[""\u00bc cup extra-virgin olive oil"", ""2 tablespoons lemon juice"", ""2 tablespoons red wine vinegar"", ""\u00bc teaspoon salt"", ""freshly g"", ""4 cups spring mix"", ""4 cups seedless watermelon, diced"", ""\u00bd (4 ounce) log Montchevre honey goat cheese"", ""\u00bd cup hazelnuts, chopped""]","[""Whisk together olive oil, lemon juice, vinegar, salt, and pepper."", ""In a large bowl, gently toss spring mix and watermelon together with vinaigrette."", ""Top with goat cheese and hazelnuts to serve.""]",9,3,watermelon goat cheese salad
Watermelon Salad,Fruit Salads,Fruit Salads,"[""1 cup sliced red onion, cut lengthwise"", ""3 tablespoons lime juice"", ""15 cups cubed watermelon"", ""3 cups cubed English cucumber"", ""1 (8 ounce) package feta cheese, crumbled"", ""\u00bd cup chopped fresh cilantro or mint"", ""cracked black pepper, to taste"", ""sea salt, to taste""]","[""Gather the ingredients."", ""Place red onion slices in a small bowl; pour over lime juice. Allow onions to marinate while assembling the salad."", ""Gently combine watermelon, cucumber, feta cheese, and cilantro in a large bowl; season with black pepper."", ""Toss watermelon salad with marinated onions and season with sea salt just before serving."", ""Serve and enjoy!""]",8,5,watermelon salad
Watermelon Salad on a Stick,Appetizers And Snacks,Fruit Appetizers,"[""8 (1 inch) cubes watermelon"", ""8 ( cubes feta cheese"", ""8 fresh mint leaves"", ""8 bamboo toothpicks""]","[""Thread 1 watermelon cube, 1 feta cheese cube, and 1 mint leaf onto a toothpick. Repeat with remaining watermelon cubes, feta cheese cubes, mint leaves, and toothpicks.""]",4,1,watermelon salad on a stick
Watermelon Salad with Feta,Fruit Salads,Fruit Salads,"[""3 tablespoons olive oil"", ""2 teaspoons white balsamic vinegar"", ""\u00bd teaspoon kosher salt"", ""8 ounces grape tomatoes, halved"", ""3 cups arugula"", ""1 cup sliced red onion"", ""2 pounds watermelon, cubed"", ""4 ounces feta cheese, cut into 1/4-inch cubes""]","[""Whisk olive oil, vinegar, and salt together in a large mixing bowl. Add tomatoes, arugula, and red onion; toss to coat. Gently stir in watermelon and feta cheese to serve.""]",8,1,watermelon salad with feta
Watermelon Salad with Grapes and Citrus,Fruit Salads,Watermelon Salad,"[""4 cups coarsely chopped seedless watermelon"", ""4 cups seedless red grapes, halved"", ""2 tablespoons grated lemon zest"", ""2 tablespoons grated lime zest""]","[""Combine watermelon and red grapes in a large bowl; toss in lemon zest and lime zest until evenly dispersed. Cover the bowl with plastic wrap; chill in the refrigerator, about 1 hour.""]",4,1,watermelon salad with grapes and citrus
Watermelon Vinaigrette,Allrecipes Allstar Recipes,Allrecipes Allstars Salad,"[""3/4 cup watermelon chunks"", ""3 tablespoons white wine vinegar"", ""3 tablespoons extra-virgin olive oil"", ""2 teaspoons shallot"", ""2 teaspoons honey"", ""1/2 teaspoon granulated garlic"", ""salt and freshly ground black pepper to taste""]","[""Place watermelon, vinegar, oil, shallot, honey, and garlic into the bowl of a mini food processor or small blender jar. Blend on high speed until smooth, about 20 seconds. Season with salt and black pepper.""]",7,1,watermelon vinaigrette
"Watermelon, Strawberry, and Herbs",Fruit Salads,Watermelon Salad,"[""\u00bc watermelon, cut into bite-sized pieces"", ""4 fresh strawberries, hulled and quartered, or more to taste"", ""1 sprig fresh mint, leaves removed and stem discarded"", ""\u00bd sprig fresh lavender, flowers removed and stem discarded"", ""\u00bd lemon""]","[""Combine watermelon and strawberries in a large bowl; add mint leaves and lavender flowers. Squeeze lemon juice over watermelon mixture; stir until evenly mixed.""]",5,1,watermelon strawberry and herbs
